id,tag
13,sherlocknet:tag=france
13,sherlocknet:tag=province
13,sherlocknet:category=organism
13,wow
14,bldigital
14,date1897
14,pubplacelondon
14,publicdomain
14,sysnum000084717
14,andrewselishabenjamin
14,medium
14,vol02
14,page72
14,eskimo
14,woman
14,sherlocknet:tag=nation
14,sherlocknet:tag=george
14,sherlocknet:tag=author
14,sherlocknet:tag=govern
14,sherlocknet:tag=polite
14,sherlocknet:tag=force
14,sherlocknet:tag=person
14,sherlocknet:tag=office
14,sherlocknet:tag=democrat
14,sherlocknet:tag=till
14,sherlocknet:tag=year
14,sherlocknet:tag=power
14,sherlocknet:tag=public
14,sherlocknet:tag=house
14,sherlocknet:tag=england
14,sherlocknet:tag=major
14,sherlocknet:tag=france
14,sherlocknet:category=organism
14,wow
15,bldigital
15,date1894
15,pubplacelondon
15,publicdomain
15,sysnum002531607
15,montbardgeorges
15,medium
15,vol0
15,page121
15,sherlocknet:tag=young
15,sherlocknet:tag=costume
15,sherlocknet:tag=chapter
15,sherlocknet:tag=people
15,sherlocknet:tag=nous
15,sherlocknet:tag=tout
15,sherlocknet:tag=point
15,sherlocknet:tag=grand
15,sherlocknet:tag=side
15,sherlocknet:tag=milieu
15,sherlocknet:tag=arab
15,sherlocknet:tag=white
15,sherlocknet:tag=gen
15,sherlocknet:tag=legend
15,sherlocknet:tag=england
15,sherlocknet:category=organism
15,wow
16,bldigital
16,date1894
16,pubplaceparis
16,publicdomain
16,sysnum000052264
16,alisharrypseudiejuleshippolytepercher
16,medium
16,vol0
16,page323
16,mechanicalcurator
16,imagesfrombook000052264
16,imagesfromvolume0000522640
16,beauty
16,vogue
16,fashion
16,jewelry
16,dress
16,sherlocknet:tag=africa
16,sherlocknet:tag=zanzibar
16,sherlocknet:tag=arab
16,sherlocknet:tag=egypt
16,sherlocknet:tag=expedite
16,sherlocknet:tag=force
16,sherlocknet:tag=hand
16,sherlocknet:tag=name
16,sherlocknet:tag=stanley
16,sherlocknet:tag=march
16,sherlocknet:tag=egyptian
16,sherlocknet:tag=greek
16,sherlocknet:tag=green
16,sherlocknet:tag=london
16,sherlocknet:tag=western
16,sherlocknet:category=organism
16,wow
17,bldigital
17,date1895
17,pubplacelondon
17,publicdomain
17,sysnum000977617
17,doylearthurconansir
17,medium
17,vol0
17,page353
17,sherlocknet:tag=kong
17,sherlocknet:tag=dell
17,sherlocknet:tag=bosnia
17,sherlocknet:tag=girl
17,sherlocknet:tag=beauty
17,sherlocknet:tag=arab
17,sherlocknet:tag=zara
17,sherlocknet:tag=name
17,sherlocknet:tag=year
17,sherlocknet:tag=circle
17,sherlocknet:tag=koran
17,sherlocknet:tag=state
17,sherlocknet:tag=public
17,sherlocknet:tag=kink
17,sherlocknet:tag=europa
17,sherlocknet:tag=george
17,sherlocknet:tag=chief
17,sherlocknet:tag=kite
17,sherlocknet:tag=wild
17,sherlocknet:category=organism
17,wow
18,bldigital
18,date1894
18,pubplacelondon
18,publicdomain
18,sysnum002531607
18,montbardgeorges
18,small
18,vol0
18,page15
18,mechanicalcurator
18,imagesfrombook002531607
18,imagesfromvolume0025316070
18,sherlocknet:tag=neck
18,sherlocknet:tag=fort
18,sherlocknet:tag=right
18,sherlocknet:tag=sous
18,sherlocknet:tag=sloven
18,sherlocknet:tag=john
18,sherlocknet:tag=milieu
18,sherlocknet:tag=interest
18,sherlocknet:tag=marshal
18,sherlocknet:tag=rock
18,sherlocknet:tag=place
18,sherlocknet:tag=petite
18,sherlocknet:tag=europe
18,sherlocknet:tag=harry
18,sherlocknet:tag=mule
18,sherlocknet:category=organism
18,wow
19,bldigital
19,date1893
19,pubplacelondon
19,publicdomain
19,sysnum002066519
19,landorarnoldhenrysavage
19,medium
19,vol0
19,page84
19,mechanicalcurator
19,imagesfrombook002066519
19,imagesfromvolume0020665190
19,sherlocknet:tag=main
19,sherlocknet:tag=house
19,sherlocknet:tag=detach
19,sherlocknet:tag=high
19,sherlocknet:tag=village
19,sherlocknet:tag=stat
19,sherlocknet:tag=nation
19,sherlocknet:tag=year
19,sherlocknet:tag=white
19,sherlocknet:tag=premier
19,sherlocknet:tag=black
19,sherlocknet:tag=early
19,sherlocknet:tag=kaiser
19,sherlocknet:tag=stand
19,sherlocknet:tag=settlement
19,sherlocknet:category=organism
19,wow
20,bldigital
20,date1892
20,pubplacelondon
20,publicdomain
20,sysnum003664244
20,tracyalbertpseudiealbertleffingwell
20,medium
20,vol0
20,page213
20,mechanicalcurator
20,imagesfrombook003664244
20,imagesfromvolume0036642440
20,sherlocknet:tag=ava
20,sherlocknet:tag=japan
20,sherlocknet:tag=white
20,sherlocknet:tag=minute
20,sherlocknet:tag=european
20,sherlocknet:tag=arab
20,sherlocknet:tag=avail
20,sherlocknet:tag=year
20,sherlocknet:tag=station
20,sherlocknet:tag=numeric
20,sherlocknet:tag=london
20,sherlocknet:tag=manner
20,sherlocknet:tag=life
20,sherlocknet:tag=hand
20,sherlocknet:tag=encore
20,sherlocknet:tag=alto
20,sherlocknet:category=organism
20,wow
21,bldigital
21,date1894
21,pubplaceedinburgh
21,publicdomain
21,sysnum003625346
21,thomsonbasilhomesirkcb
21,medium
21,vol0
21,page168
21,mechanicalcurator
21,imagesfrombook003625346
21,imagesfromvolume0036253460
21,sherlocknet:tag=work
21,sherlocknet:tag=office
21,sherlocknet:tag=land
21,sherlocknet:tag=london
21,sherlocknet:tag=life
21,sherlocknet:tag=excel
21,sherlocknet:tag=friend
21,sherlocknet:tag=family
21,sherlocknet:tag=york
21,sherlocknet:tag=reside
21,sherlocknet:tag=year
21,sherlocknet:tag=john
21,sherlocknet:tag=busy
21,sherlocknet:category=organism
21,wow
22,bldigital
22,date1892
22,pubplaceszegeden
22,publicdomain
22,sysnum001373075
22,gáspárferencz
22,medium
22,vol0
22,page160
22,mechanicalcurator
22,imagesfrombook001373075
22,imagesfromvolume0013730750
22,woman
22,sherlocknet:tag=id
22,sherlocknet:tag=thing
22,sherlocknet:tag=form
22,sherlocknet:tag=kilt
22,sherlocknet:tag=king
22,sherlocknet:tag=soak
22,sherlocknet:tag=ava
22,sherlocknet:tag=danny
22,sherlocknet:tag=order
22,sherlocknet:tag=country
22,sherlocknet:tag=angora
22,sherlocknet:tag=year
22,sherlocknet:tag=care
22,sherlocknet:tag=africa
22,sherlocknet:category=organism
22,wow
23,bldigital
23,date1876
23,pubplaceparis
23,publicdomain
23,sysnum003055002
23,reclusélisée
23,medium
23,vol10
23,page315
23,mechanicalcurator
23,imagesfrombook003055002
23,imagesfromvolume00305500210
23,woman
23,braid
23,plait
23,hair
23,somali
23,sherlocknet:tag=grand
23,sherlocknet:tag=nation
23,sherlocknet:tag=expedite
23,sherlocknet:tag=european
23,sherlocknet:tag=premier
23,sherlocknet:tag=land
23,sherlocknet:tag=milch
23,sherlocknet:tag=relate
23,sherlocknet:tag=faze
23,sherlocknet:tag=sous
23,sherlocknet:tag=main
23,sherlocknet:tag=province
23,sherlocknet:tag=tout
23,sherlocknet:tag=europe
23,sherlocknet:tag=gnarl
23,sherlocknet:tag=king
23,sherlocknet:tag=para
23,sherlocknet:tag=france
23,sherlocknet:tag=mit
23,sherlocknet:category=organism
23,wow
24,bldigital
24,date1892
24,pubplacelondon
24,publicdomain
24,sysnum000119171
24,arnoldedwinsir
24,medium
24,vol0
24,page337
24,mechanicalcurator
24,imagesfrombook000119171
24,imagesfromvolume0001191710
24,sherlocknet:tag=japan
24,sherlocknet:tag=english
24,sherlocknet:tag=bath
24,sherlocknet:tag=article
24,sherlocknet:tag=woman
24,sherlocknet:tag=place
24,sherlocknet:tag=manner
24,sherlocknet:tag=native
24,sherlocknet:tag=european
24,sherlocknet:tag=yokohama
24,sherlocknet:tag=land
24,sherlocknet:tag=nature
24,sherlocknet:tag=public
24,sherlocknet:tag=dress
24,sherlocknet:tag=passage
24,sherlocknet:tag=main
24,sherlocknet:tag=nation
24,sherlocknet:tag=day
24,sherlocknet:tag=year
24,sherlocknet:category=organism
24,wow
25,bldigital
25,date1896
25,pubplaceméxico
25,publicdomain
25,sysnum003187369
25,ruizeduardo
25,medium
25,vol0
25,page366
25,portrait
25,lady
25,woman
25,photo
25,photograph
25,sherlocknet:tag=school
25,sherlocknet:tag=frost
25,sherlocknet:tag=general
25,sherlocknet:tag=build
25,sherlocknet:tag=david
25,sherlocknet:tag=office
25,sherlocknet:tag=religious
25,sherlocknet:tag=name
25,sherlocknet:tag=william
25,sherlocknet:tag=john
25,sherlocknet:tag=skoal
25,sherlocknet:tag=public
25,sherlocknet:tag=house
25,sherlocknet:tag=fast
25,sherlocknet:tag=frond
25,sherlocknet:tag=york
25,sherlocknet:tag=horn
25,sherlocknet:category=organism
25,wow
26,bldigital
26,date1894
26,pubplacechicago
26,publicdomain
26,sysnum003798038
26,vincenthenryofficialhistorianofthecommonweal
26,large
26,vol0
26,page249
26,mechanicalcurator
26,imagesfrombook003798038
26,imagesfromvolume0037980380
26,portrait
26,female
26,sherlocknet:tag=state
26,sherlocknet:tag=nagy
26,sherlocknet:tag=mind
26,sherlocknet:tag=excel
26,sherlocknet:tag=name
26,sherlocknet:tag=cask
26,sherlocknet:tag=fine
26,sherlocknet:tag=let
26,sherlocknet:tag=elisabeth
26,sherlocknet:tag=siege
26,sherlocknet:tag=gwen
26,sherlocknet:tag=force
26,sherlocknet:tag=christian
26,sherlocknet:tag=company
26,sherlocknet:tag=sven
26,sherlocknet:tag=guyana
26,sherlocknet:tag=ellen
26,sherlocknet:category=organism
26,wow
27,bldigital
27,date1889
27,pubplacelondon
27,publicdomain
27,sysnum000259210
27,bellcharlesfredericmoberly
27,medium
27,vol0
27,page215
27,mechanicalcurator
27,imagesfrombook000259210
27,imagesfromvolume0002592100
27,sherlocknet:tag=native
27,sherlocknet:tag=high
27,sherlocknet:tag=public
27,sherlocknet:tag=province
27,sherlocknet:tag=import
27,sherlocknet:tag=general
27,sherlocknet:tag=consider
27,sherlocknet:tag=history
27,sherlocknet:tag=american
27,sherlocknet:tag=build
27,sherlocknet:tag=western
27,sherlocknet:tag=central
27,sherlocknet:tag=whole
27,sherlocknet:tag=land
27,sherlocknet:tag=party
27,sherlocknet:tag=govern
27,sherlocknet:category=organism
27,wow
28,bldigital
28,date1891
28,pubplaceamsterdam
28,publicdomain
28,sysnum002992170
28,prinsantonijwinkler
28,medium
28,vol03
28,page221
28,mechanicalcurator
28,imagesfrombook002992170
28,imagesfromvolume00299217003
28,dutch
28,persia
28,persian
28,geography
28,portrait
28,woman
28,lady
28,noble
28,headscarf
28,flowers
28,muslimah
28,muslim
28,sherlocknet:tag=province
28,sherlocknet:tag=premier
28,sherlocknet:tag=rest
28,sherlocknet:tag=general
28,sherlocknet:tag=village
28,sherlocknet:tag=system
28,sherlocknet:tag=form
28,sherlocknet:tag=nation
28,sherlocknet:tag=turk
28,sherlocknet:tag=gen
28,sherlocknet:tag=isfahan
28,sherlocknet:tag=differ
28,sherlocknet:tag=grand
28,sherlocknet:tag=shiraz
28,sherlocknet:tag=state
28,sherlocknet:tag=hog
28,sherlocknet:tag=ene
28,sherlocknet:category=organism
28,wow
29,bldigital
29,date1896
29,pubplacelondon
29,publicdomain
29,sysnum003821060
29,vuilliergaston
29,medium
29,vol0
29,page407
29,sherlocknet:tag=best
29,sherlocknet:tag=slag
29,sherlocknet:tag=hand
29,sherlocknet:tag=turk
29,sherlocknet:tag=gino
29,sherlocknet:tag=tent
29,sherlocknet:tag=chile
29,sherlocknet:tag=country
29,sherlocknet:tag=post
29,sherlocknet:tag=fort
29,sherlocknet:tag=dacha
29,sherlocknet:tag=black
29,sherlocknet:tag=screen
29,sherlocknet:tag=eye
29,sherlocknet:tag=whole
29,sherlocknet:tag=bell
29,sherlocknet:category=organism
29,wow
30,bldigital
30,date1895
30,pubplacelondon
30,publicdomain
30,sysnum002363617
30,mandevillejohnsir
30,medium
30,vol0
30,page365
30,queen
30,woman
30,amazonia
30,beauty
30,fashion
30,jewelry
30,vogue
30,crown
30,sherlocknet:tag=chapter
30,sherlocknet:tag=english
30,sherlocknet:tag=extreme
30,sherlocknet:tag=number
30,sherlocknet:tag=office
30,sherlocknet:tag=side
30,sherlocknet:tag=form
30,sherlocknet:tag=journey
30,sherlocknet:tag=people
30,sherlocknet:tag=heart
30,sherlocknet:tag=thing
30,sherlocknet:tag=heaven
30,sherlocknet:tag=person
30,sherlocknet:tag=land
30,sherlocknet:tag=young
30,sherlocknet:tag=scene
30,sherlocknet:tag=well
30,sherlocknet:category=organism
30,wow
31,bldigital
31,date1853
31,pubplacewashington
31,publicdomain
31,sysnum003399095
31,sitgreaveslorenzo
31,large
31,vol0
31,page18
31,mechanicalcurator
31,imagesfrombook003399095
31,imagesfromvolume0033990950
31,zuñiwoman
31,nativeamerican
31,sherlocknet:tag=observe
31,sherlocknet:tag=relate
